latitude,longitude,temperature_celsius,condition_text,wind_mph,wind_degree,wind_direction,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,visibility_miles,uv_index,gust_mph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_phase,moon_illumination
34.17,77.58,7.1,22.0,3.4,250,15.0,1011.0,29.84,0.0,0.0,27,5,6.3,6.0,3.0,3.8,176.9,84.4,0.1,0.1,4.6,6.8,1,1,5.0,93
34.09,74.8,20.1,20.0,2.5,151,10.0,1011.0,29.87,0.1,0.0,65,82,20.1,6.0,5.0,2.9,741.0,95.8,14.2,8.2,37.3,43.1,2,4,5.0,93
33.13,75.57,18.5,20.0,4.0,33,5.0,1010.0,29.83,0.1,0.0,70,84,18.5,6.0,4.0,5.6,317.1,93.0,1.1,0.4,8.1,10.7,1,1,5.0,93
33.88,74.92,20.0,20.0,2.2,159,10.0,1012.0,29.87,0.1,0.0,66,87,20.0,6.0,5.0,2.7,741.0,95.8,14.2,8.2,37.3,43.1,2,4,5.0,93
33.25,75.25,21.5,20.0,2.2,4,3.0,1011.0,29.86,0.1,0.0,73,70,21.4,6.0,5.0,2.7,277.0,82.3,0.6,0.4,6.9,8.9,1,1,5.0,93
34.23,74.78,20.1,20.0,2.5,151,10.0,1011.0,29.87,0.1,0.0,65,82,20.1,6.0,5.0,2.9,741.0,95.8,14.2,8.2,37.3,43.1,2,4,5.0,93
32.93,75.13,27.2,20.0,5.1,76,1.0,1005.0,29.68,1.2,0.05,65,73,29.0,5.0,6.0,9.8,948.0,36.5,32.9,5.9,43.8,58.7,3,5,5.0,93
34.02,74.72,20.1,20.0,2.5,151,10.0,1011.0,29.87,0.1,0.0,65,82,20.1,6.0,5.0,2.9,741.0,95.8,14.2,8.2,37.3,43.1,2,4,5.0,93
25.82,79.05,32.4,20.0,10.7,290,14.0,1006.0,29.69,0.1,0.0,49,72,35.3,6.0,7.0,12.8,243.7,70.1,1.4,2.0,19.7,29.2,2,2,5.0,93
34.03,74.26,17.8,19.0,2.2,233,12.0,1011.0,29.87,0.5,0.02,66,81,17.8,6.0,4.0,2.7,454.0,68.7,1.2,2.4,14.3,22.5,1,2,5.0,93
32.57,75.12,27.2,20.0,5.8,75,1.0,1005.0,29.68,1.2,0.05,65,76,29.1,5.0,6.0,11.2,948.0,36.5,32.9,5.9,43.8,58.7,3,5,5.0,93
32.37,75.52,27.3,20.0,3.4,306,7.0,1006.0,29.71,0.2,0.01,68,82,29.4,5.0,6.0,4.5,567.4,123.0,3.2,2.1,39.1,44.5,2,4,5.0,93
34.57,76.1,14.2,16.0,3.6,251,15.0,1011.0,29.84,0.0,0.0,22,32,14.3,6.0,4.0,4.0,237.0,78.0,0.2,0.2,10.3,14.5,1,1,5.0,93
33.32,75.77,17.5,20.0,2.2,263,13.0,1012.0,29.88,0.1,0.0,64,88,17.5,6.0,4.0,2.2,280.4,89.4,0.5,0.2,6.4,8.1,1,1,5.0,93
20.42,72.85,28.6,20.0,9.2,221,12.0,1009.0,29.8,0.1,0.0,69,83,31.9,6.0,6.0,11.2,173.6,34.7,0.2,0.3,9.9,17.6,1,1,5.0,93
20.7,70.98,27.8,1.0,11.0,247,15.0,1008.0,29.77,0.0,0.0,70,70,30.5,6.0,6.0,14.8,178.6,31.8,0.1,0.5,14.4,29.0,1,2,5.0,93
21.77,72.15,30.0,9.0,8.1,220,12.0,1008.0,29.77,0.0,0.0,66,25,32.0,3.0,8.0,11.6,193.6,35.4,1.0,1.0,8.9,14.5,1,1,5.0,93
27.72,75.48,31.1,22.0,11.0,250,15.0,1006.0,29.7,0.0,0.0,52,4,33.5,6.0,8.0,12.5,195.3,55.1,0.9,0.9,31.6,151.8,2,3,5.0,93
